app_slug,tier,scope,module_key,n,r0,r1,r2,r3,top_share,read_nothing,best_rank,ties,pass,fails
decision,advanced,module,m04-refusals-and-silent-defaults,15,3,4,4,4,0.2667,0.2667,1,3,True,
decision,advanced,module,m05-numbers-to-distrust,15,4,4,4,3,0.2667,0.2667,0,2,True,
decision,advanced,module,m06-the-expert-reading,15,4,4,3,4,0.2667,0.2667,0,3,True,
decision,beginner,final,,42,11,10,11,10,0.2619,0.2619,0,7,True,
decision,beginner,module,m01-what-a-decision-tree-is,15,3,5,4,3,0.3333,0.3333,1,1,True,
decision,beginner,module,m02-chance-nodes,15,4,4,4,3,0.2667,0.2667,0,0,True,
decision,beginner,module,m03-decision-nodes,15,4,4,4,3,0.2667,0.2667,0,3,True,
decision,beginner,module,m04-rolling-back-a-sequence,15,3,4,4,4,0.2667,0.3,2,1,True,
decision,beginner,module,m05-when-the-decision-changes,15,3,5,4,3,0.3333,0.3333,1,2,True,
decision,beginner,module,m06-the-associate-reading,15,4,4,3,4,0.2667,0.2667,0,4,True,
decision,intermediate,final,,42,12,9,10,11,0.2857,0.2857,0,5,True,
decision,intermediate,module,m01-perfect-information,15,4,4,4,3,0.2667,0.3,2,3,True,
decision,intermediate,module,m02-imperfect-information-by-bayes,15,3,4,4,4,0.2667,0.2667,1,2,True,
decision,intermediate,module,m03-buying-the-information,15,3,4,4,4,0.2667,0.2667,1,0,True,
decision,intermediate,module,m04-accuracy-and-value,15,3,4,4,4,0.2667,0.2667,1,0,True,
decision,intermediate,module,m05-the-voi-analyzer,15,4,3,5,3,0.3333,0.3333,2,0,True,
decision,intermediate,module,m06-the-professional-reading,15,4,4,4,3,0.2667,0.2667,0,3,True,
earthmodel,advanced,final,,42,6,16,14,6,0.381,0.4167,1,6,True,
earthmodel,advanced,module,m01-one-model-two-blocks,15,3,3,6,3,0.4,0.4,2,3,True,
earthmodel,advanced,module,m02-the-census,15,4,3,6,2,0.4,0.3667,2,2,True,
earthmodel,advanced,module,m03-control-points-cross-the-fault,15,2,5,6,2,0.4,0.4333,2,1,True,
earthmodel,advanced,module,m04-the-trend-plane,15,4,3,6,2,0.4,0.4,2,3,True,
earthmodel,advanced,module,m05-simple-kriging,15,4,3,6,2,0.4,0.4333,2,1,True,
earthmodel,advanced,module,m06-per-block-volume-and-the-workflow,15,3,4,6,2,0.4,0.4,2,3,True,
earthmodel,beginner,final,,42,14,15,6,7,0.3571,0.369,1,5,True,
earthmodel,beginner,module,m01-what-an-earth-model-is,15,4,4,4,3,0.2667,0.3,1,6,True,
earthmodel,beginner,module,m02-one-frame-many-grids,15,3,4,4,4,0.2667,0.2667,1,5,True,
earthmodel,beginner,module,m03-the-depth-down-clamp,15,3,6,4,2,0.4,0.45,1,3,True,
earthmodel,beginner,module,m04-zones-and-thickness,15,4,6,3,2,0.4,0.3667,1,5,True,
earthmodel,beginner,module,m05-bulk-rock-volume,15,6,5,2,2,0.4,0.4,0,4,True,
earthmodel,beginner,module,m06-the-earth-modeling-workflow,15,5,5,3,2,0.3333,0.3333,0,3,True,
earthmodel,intermediate,final,,42,6,16,14,6,0.381,0.3651,1,6,True,
earthmodel,intermediate,module,m01-a-well-is-not-a-vertical-line,15,2,4,6,3,0.4,0.3667,2,3,True,
earthmodel,intermediate,module,m02-minimum-curvature,15,2,5,6,2,0.4,0.4667,2,2,True,
earthmodel,intermediate,module,m03-landing-the-tops,15,2,6,5,2,0.4,0.4667,1,2,True,
earthmodel,intermediate,module,m04-the-tie-table,15,2,6,5,2,0.4,0.4333,1,3,True,
earthmodel,intermediate,module,m05-the-cost-of-assuming-vertical,15,2,6,5,2,0.4,0.4333,1,2,True,
earthmodel,intermediate,module,m06-the-well-tie-workflow,15,2,5,6,2,0.4,0.4,2,1,True,
esp,advanced,final,,42,9,12,12,9,0.2857,0.2857,1,3,True,
esp,advanced,module,m01-from-head-to-horsepower,15,4,4,4,3,0.2667,0.2667,0,4,True,
esp,advanced,module,m02-the-motor,15,4,4,4,3,0.2667,0.2667,0,1,True,
esp,advanced,module,m03-amps-and-cable,15,4,4,4,3,0.2667,0.2667,0,1,True,
esp,advanced,module,m04-at-the-surface,15,4,4,4,3,0.2667,0.2667,0,1,True,
esp,advanced,module,m05-diagnosis,15,4,4,4,3,0.2667,0.2667,0,1,True,
esp,advanced,module,m06-the-expert-reading,15,4,4,4,3,0.2667,0.2667,0,2,True,
esp,beginner,final,,42,11,11,10,10,0.2619,0.2619,0,4,True,
esp,beginner,module,m01-a-stack-of-stages,15,4,4,4,3,0.2667,0.2667,0,0,True,
esp,beginner,module,m02-fitting-a-curve,15,4,4,4,3,0.2667,0.2667,0,0,True,
esp,beginner,module,m03-the-best-efficiency-point,15,4,3,4,4,0.2667,0.2667,0,1,True,
esp,beginner,module,m04-the-duty-point,15,4,4,4,3,0.2667,0.2667,0,1,True,
esp,beginner,module,m05-outside-the-data,15,4,4,4,3,0.2667,0.2667,0,0,True,
esp,beginner,module,m06-the-associate-reading,15,4,4,4,3,0.2667,0.2667,0,2,True,
esp,intermediate,final,,42,11,11,10,10,0.2619,0.2619,0,2,True,
esp,intermediate,module,m01-the-fluid-at-the-intake,15,4,4,4,3,0.2667,0.2667,0,0,True,
